Generation,Tick,Population,AvgAge,AvgHealth,AvgWealth,AvgFood,AvgStamina,AvgWater,InfraRoads,InfraHousing,InfraFarms,InfraStorage,TotalBirths,TotalDeaths
0,19128,4237,1997822.50,96.31,1734.11,169156.72,43.04,4.48,0.00,0.00,0.00,0.00,138,0
0,19392,4209,1998171.12,96.26,1747.08,168238.27,42.47,4.55,0.00,0.00,0.00,0.00,138,0
0,19656,4179,1999906.25,96.19,1763.01,167685.83,41.79,4.35,0.00,0.00,0.00,0.00,134,0
0,19920,4147,1999706.88,96.13,1784.18,168304.62,41.24,4.39,0.00,0.00,0.00,0.00,134,0
0,20184,4125,2000539.88,95.96,1797.86,168880.30,40.73,4.37,0.00,0.00,0.00,0.00,135,0
0,20547,4086,2001894.12,95.95,1814.22,168974.84,39.93,4.46,0.00,0.00,0.00,0.00,134,0
0,20844,4053,2002868.00,95.97,1823.91,170614.81,39.27,4.42,0.00,0.00,0.00,0.00,133,0
0,21042,4032,2003032.25,95.96,1833.68,171532.20,38.88,4.44,0.00,0.00,0.00,0.00,131,0
0,21240,4009,2003969.50,95.88,1826.72,172748.80,38.37,4.36,0.00,0.00,0.00,0.00,131,0
0,21603,3971,2005568.38,96.09,1850.60,170853.31,37.76,4.42,0.00,0.00,0.00,0.00,130,0
0,21900,3940,2005592.25,96.05,1866.26,169417.19,37.20,4.45,0.00,0.00,0.00,0.00,127,0
0,22197,3906,2007369.75,96.31,1881.94,167711.58,36.61,4.48,0.00,0.00,0.00,0.00,124,0
0,22527,3865,2009719.12,96.45,1891.36,168062.16,35.93,4.40,0.00,0.00,0.00,0.00,120,0
0,22857,3834,2010335.62,96.28,1913.06,168272.62,35.33,4.41,0.00,0.00,0.00,0.00,119,0
0,23121,3814,2011261.62,95.99,1927.70,169056.41,34.88,4.45,0.00,0.00,0.00,0.00,117,0
0,23385,3788,2011638.12,96.13,1933.59,169544.81,34.41,4.42,0.00,0.00,0.00,0.00,118,0
0,23649,3757,2012685.88,96.31,1947.66,168109.70,34.05,4.53,0.00,0.00,0.00,0.00,117,0
0,23913,3728,2011450.75,96.61,1952.40,167101.28,33.59,4.51,0.00,0.00,0.00,0.00,116,0
0,24177,3707,2010458.38,96.45,1961.34,168909.59,33.07,4.39,0.00,0.00,0.00,0.00,115,0
0,24441,3690,2011315.62,96.14,1971.29,170783.97,32.58,4.40,0.00,0.00,0.00,0.00,114,0
0,24738,3660,2012596.12,96.12,1978.10,169262.20,32.31,4.48,0.00,0.00,0.00,0.00,111,0
0,25035,3635,2013351.88,96.08,1989.44,168523.08,31.91,4.47,0.00,0.00,0.00,0.00,110,0
0,25200,3612,2014788.75,96.42,1996.75,166491.52,31.61,4.48,0.00,0.00,0.00,0.00,108,0
0,25497,3585,2015077.50,96.47,2012.77,165247.39,31.21,4.34,0.00,0.00,0.00,0.00,107,0
0,25761,3568,2014967.62,96.47,2028.28,167017.95,30.86,4.37,0.00,0.00,0.00,0.00,107,0
0,25992,3548,2013440.25,96.49,2024.94,166160.69,30.47,4.46,0.00,0.00,0.00,0.00,108,0
0,26355,3518,2015270.00,96.33,2038.86,166836.27,29.80,4.37,0.00,0.00,0.00,0.00,109,0
0,26520,3505,2016100.75,96.28,2046.19,167369.59,29.58,4.37,0.00,0.00,0.00,0.00,108,0
0,26784,3487,2016787.50,96.29,2065.81,166757.50,29.25,4.48,0.00,0.00,0.00,0.00,108,0
0,27114,3467,2016639.25,96.33,2084.11,166575.84,28.79,4.50,0.00,0.00,0.00,0.00,106,0
0,27444,3433,2017260.00,96.27,2102.19,164741.62,28.24,4.34,0.00,0.00,0.00,0.00,104,0
0,27741,3405,2019079.62,96.50,2106.74,163709.58,27.62,4.43,0.00,0.00,0.00,0.00,104,0
0,28071,3378,2019167.75,96.70,2122.12,163268.19,27.19,4.44,0.00,0.00,0.00,0.00,104,0
0,28368,3356,2018318.38,96.43,2114.77,164727.03,26.71,4.30,0.00,0.00,0.00,0.00,102,0
0,28698,3328,2016276.25,96.45,2138.39,162800.00,26.10,4.35,0.00,0.00,0.00,0.00,101,0
0,28962,3310,2016830.38,96.46,2149.96,162397.05,25.90,4.43,0.00,0.00,0.00,0.00,101,0
0,29259,3290,2018995.62,96.42,2143.14,163214.52,25.53,4.37,0.00,0.00,0.00,0.00,101,0
0,29589,3266,2018868.62,96.12,2159.08,166008.47,25.11,4.31,0.00,0.00,0.00,0.00,99,0
0,29952,3229,2017866.25,96.00,2180.11,165428.70,24.84,4.35,0.00,0.00,0.00,0.00,98,0
0,30282,3204,2019657.00,96.27,2202.74,163589.66,24.40,4.40,0.00,0.00,0.00,0.00,97,0
0,30612,3175,2021116.75,96.66,2214.38,163359.00,24.10,4.42,0.00,0.00,0.00,0.00,96,0
0,30975,3154,2022628.12,96.35,2232.06,163223.33,23.84,4.34,0.00,0.00,0.00,0.00,93,0
0,31272,3133,2024819.62,96.19,2235.71,164545.67,23.80,4.32,0.00,0.00,0.00,0.00,93,0
0,31569,3108,2026294.38,96.38,2248.51,163146.95,23.40,4.33,0.00,0.00,0.00,0.00,90,0
0,31866,3091,2026768.62,96.13,2261.21,164552.75,23.27,4.28,0.00,0.00,0.00,0.00,89,0
0,32196,3064,2027718.62,96.10,2281.66,163884.31,23.21,4.31,0.00,0.00,0.00,0.00,87,0
0,32526,3043,2026077.25,95.99,2298.17,165088.41,22.97,4.23,0.00,0.00,0.00,0.00,86,0
0,32724,3024,2026263.75,96.14,2304.41,165074.00,22.73,4.28,0.00,0.00,0.00,0.00,87,0
0,33054,2995,2027086.12,96.32,2313.16,163397.20,22.69,4.28,0.00,0.00,0.00,0.00,87,0
0,33384,2970,2028507.25,96.33,2336.01,163114.88,22.55,4.35,0.00,0.00,0.00,0.00,86,0
0,33747,2948,2027713.00,96.08,2339.09,163993.25,22.46,4.28,0.00,0.00,0.00,0.00,85,0
0,34077,2930,2029196.38,95.73,2356.80,162068.97,22.31,4.31,0.00,0.00,0.00,0.00,83,0
0,34440,2898,2030086.75,95.69,2370.98,161169.62,21.93,4.36,0.00,0.00,0.00,0.00,82,0
